Date,Time,Temperature,Humidity,Heat Index,MQ7,MQ8,MQ135
24/11/2023,20:56:33,26.3,55,27.02,0,0,0
24/11/2023,20:56:42,26.3,55,27.02,0,0,0
24/11/2023,20:56:51,26.3,55,27.02,0,0,0
24/11/2023,20:56:59,26.3,55,27.02,0,0,0
24/11/2023,20:57:08,26.3,55,27.02,0,0,0
24/11/2023,20:57:19,26.3,55,27.02,0,0,0
24/11/2023,20:57:28,26.4,54,27.07,0,0,0
24/11/2023,20:57:38,26.4,54,27.07,0,0,0
24/11/2023,20:57:48,26.4,54,27.07,0,0,0
24/11/2023,20:57:57,26.4,54,27.07,0,0,0
24/11/2023,20:58:08,26.4,54,27.07,0,0,0
24/11/2023,20:58:17,26.5,54,27.16,0,0,0
24/11/2023,20:58:26,26.5,54,27.16,0,0,0
24/11/2023,20:58:36,26.5,54,27.16,0,0,0
24/11/2023,20:58:45,26.6,54,27.26,0,0,0
24/11/2023,20:58:54,26.6,53,27.21,0,0,0
24/11/2023,20:59:03,26.6,53,27.21,0,0,0
24/11/2023,20:59:12,26.7,53,27.3,0,0,0
24/11/2023,20:59:19,26.7,53,27.3,0,0,0
24/11/2023,20:59:27,26.7,53,27.3,0,0,0
24/11/2023,20:59:35,26.8,53,27.4,0,0,0
24/11/2023,20:59:44,26.8,53,27.4,0,0,0
24/11/2023,20:59:53,26.8,53,27.4,0,0,0
24/11/2023,21:00:02,26.8,53,27.4,0,0,0
24/11/2023,21:00:11,26.9,53,27.5,0,0,0
24/11/2023,21:00:21,26.9,53,27.5,0,0,0
24/11/2023,21:00:30,26.9,53,27.5,0,0,0
24/11/2023,21:00:39,27,53,27.6,0,0,0
24/11/2023,21:00:48,27,53,27.6,0,0,0
24/11/2023,21:00:58,27.1,52,27.64,0,0,0
24/11/2023,21:01:07,27.1,52,27.64,0,0,0
24/11/2023,21:01:15,27.1,52,27.64,0,0,0
24/11/2023,21:01:24,27.1,52,27.64,0,0,0
24/11/2023,21:01:33,27.2,52,27.74,0,0,0
24/11/2023,21:01:42,27.2,52,27.74,0,0,0
24/11/2023,21:01:50,27.2,52,27.74,0,0,0
24/11/2023,21:01:59,27.3,52,27.85,0,0,0
24/11/2023,21:02:08,27.3,52,27.85,0,0,0
24/11/2023,21:02:16,27.3,52,27.85,0,0,0
24/11/2023,21:02:26,27.4,52,27.95,0,0,0
24/11/2023,21:02:34,27.4,52,27.95,0,0,0
24/11/2023,21:02:42,27.4,52,27.95,0,0,0
24/11/2023,21:02:50,27.4,52,27.95,0,0,0
24/11/2023,21:03:00,27.5,51,27.99,0,0,0
24/11/2023,21:03:09,27.5,51,27.99,0,0,0
24/11/2023,21:03:18,27.6,51,28.09,0,0,0
24/11/2023,21:03:26,27.6,51,28.09,0,0,0
24/11/2023,21:03:35,27.6,51,28.09,0,0,0
24/11/2023,21:03:43,27.7,51,28.2,0,0,0
24/11/2023,21:03:52,27.7,51,28.2,0,0,0
24/11/2023,21:04:00,27.7,51,28.2,0,0,0
24/11/2023,21:04:08,27.7,51,28.2,0,0,0
24/11/2023,21:04:16,27.8,51,28.31,0,0,0
24/11/2023,21:04:24,27.7,51,28.2,0,0,0
24/11/2023,21:04:34,27.8,50,28.23,0,0,0
24/11/2023,21:04:42,27.8,50,28.23,0,0,0
24/11/2023,21:04:51,27.9,50,28.34,0,0,0
24/11/2023,21:05:00,27.9,50,28.34,0,0,0
24/11/2023,21:05:09,27.9,50,28.34,0,0,0
24/11/2023,21:05:19,27.9,50,28.34,0,0,0
24/11/2023,21:05:26,28,50,28.45,0,0,0
24/11/2023,21:05:35,28,50,28.45,0,0,0
24/11/2023,21:05:44,28,50,28.45,0,0,0
24/11/2023,21:05:53,28.1,50,28.56,0,0,0
24/11/2023,21:06:02,28.1,50,28.56,0,0,0
24/11/2023,21:06:10,28.1,50,28.56,0,0,0
24/11/2023,21:06:19,28.1,50,28.56,0,0,0
24/11/2023,21:06:30,28.2,50,28.68,0,0,0
24/11/2023,21:06:40,28.2,50,28.68,0,0,0
24/11/2023,21:06:49,28.2,49,28.58,0,0,0
24/11/2023,21:06:59,28.2,49,28.58,0,0,0
24/11/2023,21:07:07,28.2,49,28.58,0,0,0
24/11/2023,21:07:17,28.3,49,28.7,0,0,0
24/11/2023,21:07:26,28.3,49,28.7,0,0,0
24/11/2023,21:07:36,28.3,49,28.7,0,0,0
24/11/2023,21:07:44,28.3,49,28.7,0,0,0
24/11/2023,21:07:52,28.4,49,28.81,0,0,0
24/11/2023,21:08:00,28.4,49,28.81,0,0,0
24/11/2023,21:08:11,28.4,49,28.81,0,0,0
24/11/2023,21:08:21,28.4,49,28.81,0,0,0
24/11/2023,21:08:29,28.4,49,28.81,0,0,0
24/11/2023,21:08:38,28.5,49,28.93,0,0,0
24/11/2023,21:08:47,28.5,48,28.83,0,0,0
24/11/2023,21:08:56,28.5,48,28.83,0,0,0
24/11/2023,21:09:05,28.5,48,28.83,0,0,0
24/11/2023,21:09:13,28.6,48,28.94,0,0,0
24/11/2023,21:09:21,28.6,48,28.94,0,0,0
24/11/2023,21:09:31,28.6,48,28.94,0,0,0
24/11/2023,21:09:39,28.6,48,28.94,0,0,0
24/11/2023,21:09:47,28.6,48,28.94,0,0,0
24/11/2023,21:09:56,28.6,48,28.94,0,0,0
24/11/2023,21:10:05,28.7,48,29.06,0,0,0
24/11/2023,21:10:15,28.7,48,29.06,0,0,0
24/11/2023,21:10:23,28.7,48,29.06,0,0,0
24/11/2023,21:10:31,28.7,47,28.96,0,0,0
24/11/2023,21:10:40,28.7,47,28.96,0,0,0
24/11/2023,21:10:49,28.7,47,28.96,0,0,0
24/11/2023,21:10:58,28.8,47,29.07,0,0,0
24/11/2023,21:11:06,28.8,47,29.07,0,0,0
21/03/2024,18:16:21,25.4,53,25.38,0,0,0
21/03/2024,18:16:29,25.4,53,25.38,0,0,0
21/03/2024,18:16:36,25.4,53,25.38,0,0,0
21/03/2024,18:16:43,25.4,53,25.38,0,0,0
21/03/2024,18:16:50,25.4,53,25.38,0,0,0
21/03/2024,18:16:57,25.4,53,25.38,0,0,0